log_dir= logs/pretrain_duke2market-ECN
Namespace(arch='resnet50', batch_size=128, data_dir='/data/ustc/wbq/data', dist_metric='euclidean', dropout=0.5, epochs=200, epochs_decay=10, evaluate=False, features=4096, height=256, init_1='/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar', inv_alpha=0.4, inv_beta=0.07, knn=18, lmd=0.3, logs_dir='logs/pretrain_duke2market-ECN', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
=> Loaded checkpoint '/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar'
Epoch: [0][24/129], Time 0.913 (1.135), Data 0.009 (0.048), Loss 9.550 (9.659), Prec 100.00% (99.51%), s_pid_loss: 0.0510, t_un_loss: 9.2608, loss_tri_soft: 0.5780, loss_tri: 0.0597
Epoch: [0][25/129], Time 0.883 (1.125), Data 0.010 (0.046), Loss 9.345 (9.646), Prec 100.00% (99.53%), s_pid_loss: 0.0673, t_un_loss: 9.0534, loss_tri_soft: 0.5828, loss_tri: 0.0662
Epoch: [0][26/129], Time 0.918 (1.117), Data 0.010 (0.045), Loss 9.336 (9.634), Prec 99.22% (99.52%), s_pid_loss: 0.0878, t_un_loss: 9.0433, loss_tri_soft: 0.5844, loss_tri: 0.0667
Epoch: [0][27/129], Time 0.897 (1.109), Data 0.009 (0.043), Loss 9.332 (9.623), Prec 99.22% (99.51%), s_pid_loss: 0.1150, t_un_loss: 9.0394, loss_tri_soft: 0.5843, loss_tri: 0.0664
Epoch: [0][28/129], Time 0.911 (1.101), Data 0.009 (0.042), Loss 9.541 (9.620), Prec 97.66% (99.44%), s_pid_loss: 0.1566, t_un_loss: 9.2484, loss_tri_soft: 0.5845, loss_tri: 0.0650
Epoch: [0][29/129], Time 0.899 (1.094), Data 0.009 (0.041), Loss 9.203 (9.606), Prec 98.44% (99.41%), s_pid_loss: 0.0968, t_un_loss: 8.9134, loss_tri_soft: 0.5790, loss_tri: 0.0655
Epoch: [0][30/129], Time 0.898 (1.088), Data 0.010 (0.040), Loss 9.250 (9.594), Prec 99.22% (99.40%), s_pid_loss: 0.0943, t_un_loss: 8.9623, loss_tri_soft: 0.5762, loss_tri: 0.0671
Epoch: [0][31/129], Time 0.920 (1.083), Data 0.009 (0.039), Loss 9.246 (9.583), Prec 100.00% (99.42%), s_pid_loss: 0.0939, t_un_loss: 8.9552, loss_tri_soft: 0.5817, loss_tri: 0.0658
Epoch: [0][32/129], Time 0.901 (1.077), Data 0.010 (0.038), Loss 9.220 (9.571), Prec 99.22% (99.41%), s_pid_loss: 0.1138, t_un_loss: 8.9286, loss_tri_soft: 0.5832, loss_tri: 0.0689
Epoch: [0][33/129], Time 0.884 (1.071), Data 0.010 (0.037), Loss 9.115 (9.557), Prec 96.88% (99.34%), s_pid_loss: 0.1570, t_un_loss: 8.8225, loss_tri_soft: 0.5845, loss_tri: 0.0692
Epoch: [0][34/129], Time 0.939 (1.067), Data 0.009 (0.036), Loss 9.367 (9.552), Prec 98.44% (99.31%), s_pid_loss: 0.1688, t_un_loss: 9.0769, loss_tri_soft: 0.5802, loss_tri: 0.0725
